deck,category,question,option_a,option_b,option_c,option_d,answer,note,source
"Star Wars 2 · Film details","Prequels: events","Which location is Luke and Leia's birthplace?","Tatooine","Alderaan","Naboo","Polis Massa","Polis Massa","The twins are born at the medical facility on Polis Massa and raised separately.","https://www.starwars.com/databank/polis-massa"
"Star Wars 2 · Film details","Sequel details","On which planet does Maz Kanata run her castle?","Takodana","Jakku","Crait","Kef Bir","Takodana","The travelers visit Maz on Takodana in The Force Awakens.","https://www.starwars.com/databank/takodana"
"Star Wars 2 · Film details","Sequel details","What is Captain Phasma's armor's distinctive finish?","Matte black","Reflective chrome","Bright red","Gold","Reflective chrome","Phasma's chrome armor distinguishes her from white-armored stormtroopers.","https://www.starwars.com/databank/captain-phasma"
"Star Wars 2 · Film details","Sequel details","Which Resistance mechanic accompanies Finn to Canto Bight?","Kaydel Connix","Jannah","Rose Tico","Zorii Bliss","Rose Tico","Rose and Finn search for a codebreaker in The Last Jedi.","https://www.starwars.com/databank/rose-tico"
"Star Wars 2 · Film details","Sequel details","What white material covers the red ground on Crait?","Snow","Ash","Sand","Salt","Salt","Crait's salt crust makes it look snowy, but the exposed mineral beneath is red.","https://www.starwars.com/databank/crait"
"Star Wars 2 · Film details","Sequel details","Who rams the Supremacy with the Raddus at lightspeed?","Vice Admiral Holdo","Leia Organa","Poe Dameron","Admiral Ackbar","Vice Admiral Holdo","Holdo sacrifices the cruiser so the remaining Resistance can escape.","https://www.starwars.com/databank/amilyn-holdo"
"Star Wars 2 · Film details","Sequel details","Who admits to being the spy helping the Resistance in The Rise of Skywalker?","Allegiant General Pryde","General Hux","Captain Phasma","DJ","General Hux","Hux helps because he wants Kylo Ren to lose, not because he supports the Resistance.","https://www.starwars.com/databank/general-hux"
"Star Wars 2 · Film details","Sequel details","On which Sith world does the final battle of The Rise of Skywalker take place?","Moraband","Mustafar","Exegol","Dathomir","Exegol","Palpatine and the Final Order fleet are hidden on Exegol.","https://www.starwars.com/databank/exegol"
"Star Wars 2 · Film details","Sequel details","Which tiny droidsmith helps the heroes access C-3PO's forbidden translation?","Unkar Plutt","Watto","D-O","Babu Frik","Babu Frik","Babu Frik works on C-3PO on Kijimi.","https://www.starwars.com/databank/babu-frik"
"Star Wars 2 · Film details","Rogue One","What nickname does Galen use for Jyn, also found in the Death Star project files?","Stardust","Starlight","Starkiller","Sunbeam","Stardust","Jyn recognizes Stardust when searching the Scarif archive.","https://www.starwars.com/databank/galen-erso"
"Star Wars 2 · Film details","Rogue One","Which Imperial director oversees the Death Star weapons project in Rogue One?","Wilhuff Tarkin","Orson Krennic","Wullf Yularen","Galen Erso","Orson Krennic","Krennic heads Advanced Weapons Research and wears a white uniform and cape.","https://www.starwars.com/databank/director-orson-krennic"
"Star Wars 2 · Film details","Rogue One","Which blind warrior repeats ""I am one with the Force, and the Force is with me""?","Baze Malbus","Saw Gerrera","Chirrut Îmwe","Bodhi Rook","Chirrut Îmwe","Chirrut is a devoted warrior monk from Jedha, not a Jedi Knight.","https://www.starwars.com/databank/chirrut-imwe"
"Star Wars 2 · Film details","Rogue One","Who is Chirrut's heavily armed friend?","Cassian Andor","Ruescott Melshi","Moroff","Baze Malbus","Baze Malbus","Baze's pragmatism contrasts with Chirrut's spiritual outlook.","https://www.starwars.com/databank/baze-malbus"
"Star Wars 2 · Film details","Rogue One","Which Imperial cargo pilot defects and brings Galen's message?","Bodhi Rook","Poe Dameron","Wedge Antilles","Tobias Beckett","Bodhi Rook","Bodhi defects from the Empire and helps fly the Scarif mission.","https://www.starwars.com/databank/bodhi-rook"
"Star Wars 2 · Film details","Rogue One","Who raises Jyn after she is separated from her parents?","Bail Organa","Saw Gerrera","Galen Marek","Mon Mothma","Saw Gerrera","Saw shelters Jyn and trains her among his Partisans.","https://www.starwars.com/databank/saw-gerrera"
"Star Wars 2 · Film details","Rogue One","Which holy city is struck during the Death Star's first test shown in Rogue One?","Mos Eisley","Theed","Jedha City","Tipoca City","Jedha City","Krennic orders a single-reactor ignition against Jedha City.","https://www.starwars.com/databank/jedha"
"Star Wars 2 · Film details","Rogue One","Which film's opening follows directly after Rogue One's ending?","The Empire Strikes Back","Solo","Revenge of the Sith","A New Hope","A New Hope","The plans reach Leia aboard the Tantive IV before Vader pursues her.","https://www.starwars.com/databank/princess-leia-organa"
"Star Wars 2 · Film details","Solo","Which planet is Han's childhood home in Solo?","Corellia","Tatooine","Kessel","Vandor","Corellia","Young Han lives in the White Worms gang on Corellia.","https://www.starwars.com/databank/han-solo"
"Star Wars 2 · Film details","Solo","Which professional thief takes young Han into his crew?","Dryden Vos","Tobias Beckett","Enfys Nest","Lando Calrissian","Tobias Beckett","Beckett recruits Han and Chewbacca for the Vandor train heist.","https://www.starwars.com/databank/tobias-beckett"
"Star Wars 2 · Film details","Solo","What volatile hyperfuel does Beckett's crew try to steal?","Tibanna","Bacta","Coaxium","Beskar","Coaxium","Unrefined coaxium from Kessel must be handled carefully and refined quickly.","https://www.starwars.com/databank/coaxium"
"Star Wars 2 · Film details","Solo","Which crime syndicate does Dryden Vos represent?","Black Sun","Hutt Cartel","Pyke Syndicate","Crimson Dawn","Crimson Dawn","Beckett owes Crimson Dawn after the failed Vandor job.","https://www.starwars.com/databank/tobias-beckett"
"Star Wars 2 · Film details","Solo","Which masked leader commands the Cloud-Riders?","Enfys Nest","Qi'ra","Val","Lady Proxima","Enfys Nest","Enfys reveals that her raids support resistance to criminal oppression.","https://www.starwars.com/databank/enfys-nest"
"Star Wars 2 · Film details","Solo","Which droid's navigation data becomes part of the Millennium Falcon?","K-2SO","L3-37","R2-D2","IG-11","L3-37","Lando uploads L3's neural core after she is damaged on Kessel.","https://www.starwars.com/databank/l3-37"
"Star Wars 2 · Film details","Solo","What card game decides ownership of the Falcon between Han and Lando?","Dejarik","Pazaak","Sabacc","Sabaac chess","Sabacc","Han wins the ship in sabacc; dejarik is the holographic board game.","https://www.starwars.com/databank/millennium-falcon"
"Star Wars 2 · Film details","Solo","On which muddy battlefield does Han first meet Chewbacca?","Scarif","Geonosis","Hoth","Mimban","Mimban","Han meets Chewie while serving as an Imperial mudtrooper on Mimban.","https://www.starwars.com/databank/han-solo"
"Star Wars 3 · TV & series","The Clone Wars","Which clone captain is most closely associated with Anakin and Ahsoka's campaigns?","Rex","Wolffe","Cody","Gregor","Rex","Rex serves Anakin and Ahsoka; Cody usually serves alongside Obi-Wan.","https://www.starwars.com/databank/clone-captain-rex"
"Star Wars 3 · TV & series","The Clone Wars","Which assassin trained by Count Dooku later turns against him?","Aurra Sing","Asajj Ventress","Zam Wesell","Fennec Shand","Asajj Ventress","Dooku abandons Ventress on Sidious's orders, provoking her revenge.","https://www.starwars.com/databank/count-dooku"
"Star Wars 3 · TV & series","The Clone Wars","Which brother finds Maul alive after his apparent death on Naboo?","Feral","Pre Vizsla","Savage Opress","Dryden Vos","Savage Opress","Mother Talzin sends Savage to find his surviving brother.","https://www.starwars.com/databank/savage-opress"
"Star Wars 3 · TV & series","The Clone Wars","Who leads the Nightsisters on Dathomir during the Clone Wars?","Luminara Unduli","Shaak Ti","Duchess Satine","Mother Talzin","Mother Talzin","Talzin is a powerful Nightsister and Maul's mother.","https://www.starwars.com/databank/mother-talzin"
"Star Wars 3 · TV & series","The Clone Wars","Which pacifist duchess of Mandalore shares a romantic past with Obi-Wan?","Satine Kryze","Bo-Katan Kryze","Ursa Wren","Rook Kast","Satine Kryze","Satine leads the New Mandalorians; her sister Bo-Katan follows a different path.","https://www.starwars.com/databank/duchess-satine-kryze"
"Star Wars 3 · TV & series","The Clone Wars","Which ARC trooper investigates the inhibitor-chip conspiracy with AZI-3?","Echo","Fives","Hevy","Jesse","Fives","Fives investigates after Tup kills a Jedi and discovers the implanted chips.","https://www.starwars.com/databank/azi-3"
"Star Wars 3 · TV & series","The Clone Wars","Who is exposed as the Jedi behind the Temple bombing that Ahsoka was blamed for?","Luminara Unduli","Shaak Ti","Barriss Offee","Jocasta Nu","Barriss Offee","Barriss frames Ahsoka; the ordeal leads Ahsoka to leave the Order.","https://www.starwars.com/databank/barriss-offee"
"Star Wars 3 · TV & series","The Clone Wars","Which blue-skinned bounty hunter uses rocket boots and wears a wide-brimmed hat?","Hondo Ohnaka","Embo","Bossk","Cad Bane","Cad Bane","Cad Bane is a ruthless hunter from Duro with twin blasters and specialized equipment.","https://www.starwars.com/databank/cad-bane"
"Star Wars 3 · TV & series","Rebels","Who becomes Ezra Bridger's Jedi teacher?","Kanan Jarrus","Cal Kestis","Quinlan Vos","Luke Skywalker","Kanan Jarrus","Teaching Ezra helps Kanan embrace his own Jedi identity again.","https://www.starwars.com/databank/kanan-jarrus"
"Star Wars 3 · TV & series","Rebels","On which planet does Ezra grow up as an orphan?","Ryloth","Lothal","Coruscant","Jedha","Lothal","Ezra joins the Ghost crew on Lothal and fights for its liberation.","https://www.starwars.com/databank/ezra-bridger"
"Star Wars 3 · TV & series","Rebels","Which freighter serves as Hera Syndulla's mobile rebel base?","Razor Crest","Stinger Mantis","Ghost","Outrider","Ghost","The Ghost is a customized VCX-100 light freighter.","https://www.starwars.com/databank/the-ghost"
"Star Wars 3 · TV & series","Rebels","What species is Garazeb ""Zeb"" Orrelios?","Wookiee","Bothan","Trandoshan","Lasat","Lasat","Zeb is a former Lasat honor guard and the Ghost crew's muscle.","https://www.starwars.com/databank/zeb-orrelios"
"Star Wars 3 · TV & series","Rebels","Which designation belongs to the droid nicknamed Chopper?","C1-10P","R4-P17","AP-5","C-21","C1-10P","C1-10P is Hera's cranky astromech companion.","https://www.starwars.com/databank/chopper"
"Star Wars 3 · TV & series","Rebels","Which Ghost crew member is a Mandalorian graffiti artist and explosives expert?","Hera Syndulla","Sabine Wren","Ahsoka Tano","Agent Kallus","Sabine Wren","Sabine's starbird artwork helps inspire the Rebel Alliance emblem.","https://www.starwars.com/databank/sabine-wren"
"Star Wars 3 · TV & series","Rebels","What name did Kanan Jarrus use before going into hiding?","Cade Skywalker","Jaro Tapal","Caleb Dume","Galen Marek","Caleb Dume","Caleb Dume adopts the name Kanan Jarrus after surviving Order 66.","https://www.starwars.com/databank/kanan-jarrus"
"Star Wars 3 · TV & series","Rebels","Which species does Grand Admiral Thrawn belong to?","Duros","Pantoran","Twi'lek","Chiss","Chiss","Thrawn comes from the Chiss Ascendancy and is known for blue skin and red eyes.","https://www.starwars.com/databank/grand-admiral-thrawn"
"Star Wars 3 · TV & series","The Mandalorian","What is Din Djarin's main ship in the first season?","Razor Crest","Slave I","Ghost","Tantive IV","Razor Crest","The Razor Crest serves as Din's transport and living quarters.","https://www.starwars.com/databank/razor-crest"
"Star Wars 3 · TV & series","The Mandalorian","Which phrase affirms the creed of Din's Mandalorian covert?","For the Republic","This is the Way","One way out","Rebellions are built on hope","This is the Way","""This is the Way"" affirms the group's traditions and shared code.","https://www.starwars.com/databank/the-mandalorian"
"Star Wars 3 · TV & series","The Mandalorian","Who forges armor and preserves the traditions of Din's covert?","Peli Motto","Bo-Katan Kryze","The Armorer","Fennec Shand","The Armorer","The Armorer forges beskar and guides the covert in its ancient traditions.","https://www.starwars.com/databank/the-armorer"
"Star Wars 3 · TV & series","The Mandalorian","Which Ugnaught ally is known for saying ""I have spoken""?","Greef Karga","Paz Vizsla","Mythrol","Kuiil","Kuiil","Kuiil helps Din on Arvala-7 and later reprograms IG-11.","https://www.starwars.com/databank/kuiil"
"Star Wars 3 · TV & series","The Mandalorian","Who offers Din bounty work for the Guild in season 1?","Greef Karga","Cobb Vanth","Moff Gideon","Gorian Shard","Greef Karga","Greef Karga represents the Bounty Hunters Guild on Nevarro.","https://www.starwars.com/databank/the-mandalorian"
"Star Wars 3 · TV & series","The Mandalorian","Who emerges holding the Darksaber at the end of season 1?","Bo-Katan Kryze","Moff Gideon","Boba Fett","The Armorer","Moff Gideon","Gideon cuts his way out of his crashed TIE fighter with the Darksaber.","https://www.starwars.com/databank/moff-gideon"
"Star Wars 3 · TV & series","The Mandalorian","What model of small starfighter does Peli Motto help Din acquire after losing his original ship?","A-wing","TIE Advanced","N-1 starfighter","Jedi interceptor","N-1 starfighter","Din's modified N-1 is a Naboo starfighter rebuilt on Tatooine.","https://www.starwars.com/databank/the-mandalorian"
"Star Wars 3 · TV & series","The Mandalorian","Which Jedi arrives to rescue Grogu from Gideon's cruiser in the season 2 finale?","Ezra Bridger","Ahsoka Tano","Cal Kestis","Luke Skywalker","Luke Skywalker","Luke answers Grogu's call through the Force and offers to train him.","https://www.starwars.com/databank/grogu"
"Star Wars 3 · TV & series","Andor: season 1","Which salvage-market world is Cassian's adoptive home?","Ferrix","Kenari","Niamos","Aldhani","Ferrix","Cassian grows up on Ferrix after Maarva takes him from Kenari.","https://www.starwars.com/databank/maarva-andor"
"Star Wars 3 · TV & series","Andor: season 1","Who is Cassian Andor's adoptive mother?","Mon Mothma","Maarva Andor","Bix Caleen","Kleya Marki","Maarva Andor","Maarva and Clem adopt the boy called Kassa and rename him Cassian.","https://www.starwars.com/databank/maarva-andor"
"Star Wars 3 · TV & series","Andor: season 1","Which world hosts the Imperial payroll heist timed to a celestial ""Eye""?","Ferrix","Narkina 5","Aldhani","Ghorman","Aldhani","The Aldhani rebels use the Eye's spectacle to cover their escape.","https://www.starwars.com/databank/aldhani"
"Star Wars 3 · TV & series","Andor: season 1","Where is Cassian imprisoned in a factory complex with electrified floors?","Scarif","Wobani","Kessel","Narkina 5","Narkina 5","The Narkina 5 prison forces inmates to manufacture components for the Empire.","https://www.starwars.com/databank/narkina-5"
"Star Wars 3 · TV & series","Andor: season 1","What does Kino Loy reveal he cannot do during the prison escape?","Swim","Read","Pilot","Climb","Swim","Kino helps free the prisoners but cannot swim away from the water-surrounded prison.","https://www.starwars.com/news/andor-episode-10-one-way-out-highlights"
"Star Wars 3 · TV & series","Andor: season 1","What civilian business does Luthen use as his cover on Coruscant?","A repair shop","An antiquities dealership","A restaurant","A medical clinic","An antiquities dealership","Luthen poses as an eccentric antiquities dealer while organizing resistance.","https://www.starwars.com/databank/luthen-rael"
"Star Wars 3 · TV & series","Andor: season 1","Which planet does Senator Mon Mothma represent?","Alderaan","Naboo","Chandrila","Corellia","Chandrila","Mon Mothma is Chandrila's senator and a secret supporter of rebellion.","https://www.starwars.com/news/andor-season-2-interview-tony-gilroy"
"Star Wars 3 · TV & series","Andor: season 1","Which aging salvage droid belongs to the Andor family?","K-2SO","AP-5","B1-OB","B2EMO","B2EMO","Bee is a loyal groundmech salvage-assist droid with failing power reserves.","https://www.starwars.com/databank/b2emo"
"Star Wars 3 · TV & series","Andor & Obi-Wan Kenobi","Which planet suffers the massacre Mon Mothma condemns in Andor season 2?","Ghorman","Aldhani","Naboo","Mina-Rau","Ghorman","The Ghorman massacre pushes Mon Mothma into open opposition to the Emperor.","https://www.starwars.com/news/andor-season-2-interview-tony-gilroy"
"Star Wars 3 · TV & series","Andor & Obi-Wan Kenobi","Which mineral drives the Empire's interest in Ghorman in Andor season 2?","Coaxium","Kalkite","Beskar","Cortosis","Kalkite","Kalkite is needed to coat the Death Star's reactor lenses.","https://www.starwars.com/databank/director-orson-krennic"
"Star Wars 3 · TV & series","Andor & Obi-Wan Kenobi","Who works beside Luthen at his gallery and helps manage his rebel network?","Vel Sartha","Dedra Meero","Kleya Marki","Cinta Kaz","Kleya Marki","Luthen rescued Kleya as a child; she becomes his trusted partner.","https://www.starwars.com/databank/luthen-rael"
"Star Wars 3 · TV & series","Andor & Obi-Wan Kenobi","Which rebel recruit on Aldhani records an idealistic manifesto?","Arvel Skeen","Taramyn Barcona","Lieutenant Gorn","Karis Nemik","Karis Nemik","Nemik's ideas continue to influence Cassian after the heist.","https://www.starwars.com/news/andor-season-2-interview-tony-gilroy"
"Star Wars 3 · TV & series","Andor & Obi-Wan Kenobi","Whose kidnapping draws Obi-Wan out of hiding in the Obi-Wan Kenobi series?","Young Leia","Young Luke","Grogu","Ezra Bridger","Young Leia","Bail Organa asks Obi-Wan to rescue Leia after she is taken from Alderaan.","https://www.starwars.com/databank/princess-leia-organa"
"Star Wars 3 · TV & series","Andor & Obi-Wan Kenobi","Which Inquisitor is also called the Third Sister?","Trilla Suduri","Reva","Barriss Offee","Lyn Rakish","Reva","Reva hunts Obi-Wan and conceals a personal vendetta against Vader.","https://www.starwars.com/databank/reva-third-sister"
"Star Wars 3 · TV & series","Andor & Obi-Wan Kenobi","On which watery moon stands Fortress Inquisitorius?","Kamino","Mustafar","Nur","Kef Bir","Nur","Nur is a moon in the Mustafar system; the fortress rises from its seas.","https://www.starwars.com/databank/fortress-inquisitorius"
"Star Wars 3 · TV & series","Andor & Obi-Wan Kenobi","What is the escape network helping hunted Jedi and Force-sensitive people in Obi-Wan Kenobi called?","The Guild","The Collective","The Watch","The Path","The Path","The Path provides safe houses, new identities, and routes away from the Empire.","https://www.starwars.com/obi-wan-kenobi-part-v-story-gallery"
"Star Wars 3 · TV & series","The Bad Batch","What is the Bad Batch's official unit designation?","Clone Force 99","501st Legion","212th Attack Battalion","Domino Squad","Clone Force 99","Clone Force 99 originally consists of Hunter, Wrecker, Tech, and Crosshair.","https://www.starwars.com/databank/clone-force-99-bad-batch"
"Star Wars 3 · TV & series","The Bad Batch","Which squad leader has enhanced tracking senses?","Crosshair","Hunter","Echo","Tech","Hunter","Hunter's keen senses help him track targets and assess his surroundings.","https://www.starwars.com/databank/hunter"
"Star Wars 3 · TV & series","The Bad Batch","Which Bad Batch member specializes in computers and technical analysis?","Wrecker","Hunter","Tech","Crosshair","Tech","Tech can solve technical problems faster than many droids.","https://www.starwars.com/databank/tech"
"Star Wars 3 · TV & series","The Bad Batch","What is the name of Wrecker's tooka doll?","Numa","Bee","Boga","Lula","Lula","Lula is Wrecker's soft toy and also comforts Omega.","https://www.starwars.com/news/star-wars-trivia"
"Star Wars 3 · TV & series","The Bad Batch","Who works as Nala Se's medical assistant before joining Clone Force 99?","Omega","Emerie Karr","Phee Genoa","Cid","Omega","Omega spends her early life in Tipoca City on Kamino.","https://www.starwars.com/databank/omega"
"Star Wars 3 · TV & series","The Bad Batch","Which Bad Batch member is the squad's sniper?","Echo","Crosshair","Wrecker","Hunter","Crosshair","Crosshair's enhanced eyesight gives him exceptional long-range accuracy.","https://www.starwars.com/databank/crosshair"
"Star Wars 3 · TV & series","The Bad Batch","Which presumed-dead ARC trooper is rescued on Skako Minor and joins the Bad Batch?","Fives","Hevy","Echo","Jesse","Echo","Rex helps rescue Echo after discovering the Separatists are using him.","https://www.starwars.com/databank/tech"
"Star Wars 3 · TV & series","The Bad Batch","Which island refuge offers Omega and the squad a peaceful home?","Ord Mantell","Tantiss","Ryloth","Pabu","Pabu","Phee Genoa introduces the squad to the refugee community on Pabu.","https://www.starwars.com/databank/pabu"
"Star Wars 3 · TV & series","Ahsoka","On which world in another galaxy are Ezra and Thrawn found?","Peridea","Seatos","Arcana","Malachor","Peridea","Peridea lies at the end of an intergalactic purrgil migration route.","https://www.starwars.com/databank/peridea"
"Star Wars 3 · TV & series","Ahsoka","Which space-whales can naturally travel through hyperspace?","Mynocks","Purrgil","Exogorths","Porgs","Purrgil","Purrgil use interstellar gases to fuel their natural hyperspace jumps.","https://www.starwars.com/databank/purrgil"
"Star Wars 3 · TV & series","Ahsoka","Which ancient droid helps young Jedi construct their lightsabers?","Chopper","AP-5","Huyang","B2EMO","Huyang","Professor Huyang preserves centuries of lightsaber designs and Jedi knowledge.","https://www.starwars.com/databank/professor-huyang"
"Star Wars 3 · TV & series","Ahsoka","Who is Baylan Skoll's apprentice?","Sabine Wren","Morgan Elsbeth","Merrin","Shin Hati","Shin Hati","Shin and Baylan work as mercenaries allied with Morgan Elsbeth.","https://www.starwars.com/databank/shin-hati"
"Star Wars 3 · TV & series","Ahsoka","Morgan Elsbeth belongs to which tradition of witches?","Nightsisters","Jedi Consulars","Guardians of the Whills","Sisters of the Ninth Door","Nightsisters","Morgan is a survivor of the Nightsisters of Dathomir.","https://www.starwars.com/databank/morgan-elsbeth"
"Star Wars 3 · TV & series","Ahsoka","Who are Jacen Syndulla's parents?","Han and Leia","Hera and Kanan","Anakin and Padmé","Ezra and Sabine","Hera and Kanan","Jacen is the son of Hera Syndulla and Kanan Jarrus.","https://www.starwars.com/jacen-syndulla"
"Star Wars 3 · TV & series","Ahsoka","What enormous hyperspace transport does Morgan build to reach Thrawn?","The Supremacy","The Crucible","The Eye of Sion","The Malevolence","The Eye of Sion","The Eye of Sion is a giant hyperspace ring used for the intergalactic journey.","https://www.starwars.com/databank/morgan-elsbeth"
"Star Wars 3 · TV & series","Ahsoka","What does Thrawn study to understand his enemies' behavior?","Their horoscopes","Only their weapons","Their food supplies alone","Their art and culture","Their art and culture","Thrawn believes art reveals how a people thinks and fights.","https://www.starwars.com/databank/grand-admiral-thrawn"
"Star Wars 3 · TV & series","Other series","Which assassin becomes Boba Fett's closest partner in The Book of Boba Fett?","Fennec Shand","Aurra Sing","Zam Wesell","Asajj Ventress","Fennec Shand","Fennec helps Boba build and defend his position on Tatooine.","https://www.starwars.com/databank/fennec-shand"
"Star Wars 3 · TV & series","Other series","Who faces Boba Fett in the finale's western-style street duel?","Bossk","Cad Bane","Dengar","Embo","Cad Bane","Cad Bane works for the Pykes and confronts his former protégé.","https://www.starwars.com/databank/cad-bane"
"Star Wars 3 · TV & series","Other series","What species is the black-furred bounty hunter Krrsantan?","Lasat","Ewok","Wookiee","Wampa","Wookiee","Krrsantan is a Wookiee gladiator turned bounty hunter.","https://www.starwars.com/databank/krrsantan"
"Star Wars 3 · TV & series","Other series","Who is the marshal of Mos Pelgo who wears Boba's recovered armor?","Greef Karga","Tobias Beckett","Boba Fett","Cobb Vanth","Cobb Vanth","Cobb buys the armor from Jawas and uses it to protect his town.","https://www.starwars.com/databank/cobb-vanth"
"Star Wars 3 · TV & series","Other series","Which anthology begins with nine anime shorts made by Japanese studios?","Star Wars: Visions","Tales of the Jedi","Star Wars Resistance","Forces of Destiny","Star Wars: Visions","Visions volume 1 presents independent anime interpretations of Star Wars.","https://www.starwars.com/series/star-wars-visions"
"Star Wars 3 · TV & series","Other series","Which orderly planet is home to the four children in Skeleton Crew?","At Achrann","At Attin","Lothal","Alderaan","At Attin","Wim, Neel, Fern, and KB begin their journey on At Attin.","https://www.starwars.com/databank/at-attin"
"Star Wars 3 · TV & series","Other series","Which ship takes the Skeleton Crew children away from home?","Crimson Firehawk","Ghost","Onyx Cinder","Jade Shadow","Onyx Cinder","The children discover the buried Onyx Cinder and accidentally leave their world.","https://www.starwars.com/databank/onyx-cinder"
"Star Wars 3 · TV & series","Other series","Which pair are the twin sisters at the center of The Acolyte?","Ahsoka and Barriss","Satine and Bo-Katan","Rey and Rose","Mae and Osha","Mae and Osha","Mae and Osha Aniseya grow up in a coven on Brendok.","https://www.starwars.com/databank/mae"
"Star Wars 4 · Deep cuts","Jedi & Sith lore","Which ancient Sith Lord establishes the Rule of Two?","Darth Bane","Darth Maul","Darth Vader","Darth Tyranus","Darth Bane","Bane limits the Sith to a master and an apprentice to curb destructive infighting.","https://www.starwars.com/databank/darth-bane"
"Star Wars 4 · Deep cuts","Jedi & Sith lore","Which first Mandalorian Jedi creates the Darksaber?","Pre Vizsla","Tarre Vizsla","Paz Vizsla","Din Djarin","Tarre Vizsla","Tarre creates the blade; Pre Vizsla wields it much later during the Clone Wars.","https://www.starwars.com/news/mandalorian-history"
"Star Wars 4 · Deep cuts","Jedi & Sith lore","What is the usual title for a Jedi apprentice assigned to a teacher?","Inquisitor","Grand Master","Padawan","Senator","Padawan","Ahsoka becomes Anakin's Padawan at age fourteen.","https://www.starwars.com/databank/ahsoka-tano"
"Star Wars 4 · Deep cuts","Jedi & Sith lore","Which artifact stores teachings that require the Force to unlock?","Datapad","Holopuck","Comlink","Holocron","Holocron","Jedi and Sith holocrons preserve knowledge for later generations.","https://www.starwars.com/databank/jedi-holocron"
"Star Wars 4 · Deep cuts","Jedi & Sith lore","What microscopic life forms help living beings communicate with the Force?","Midi-chlorians","Kyber particles","Nanodroids","Mynocks","Midi-chlorians","Midi-chlorians live symbiotically inside cells; they are not the Force itself.","https://www.starwars.com/news/so-what-the-heck-are-midi-chlorians"
"Star Wars 4 · Deep cuts","Jedi & Sith lore","Where do younglings seek lightsaber crystals during the Gathering in The Clone Wars?","Jedha","Ilum","Dagobah","Moraband","Ilum","The Gathering takes younglings into Ilum's crystal caves.","https://www.starwars.com/news/star-wars-trivia-tuesday-answers"
"Star Wars 4 · Deep cuts","Jedi & Sith lore","Which world is home to Mother Talzin's Nightsister clan?","Mandalore","Ryloth","Dathomir","Naboo","Dathomir","Dathomir is the home of Talzin's Nightsisters and the Nightbrothers.","https://www.starwars.com/databank/mother-talzin"
"Star Wars 4 · Deep cuts","Jedi & Sith lore","Which ancient Sith world does Yoda visit in The Clone Wars episode ""Sacrifice""?","Exegol","Mustafar","Malachor","Moraband","Moraband","Moraband contains the Valley of the Dark Lords and Darth Bane's tomb.","https://www.starwars.com/databank/moraband"
"Star Wars 4 · Deep cuts","Alien species","What species is Admiral Ackbar?","Mon Calamari","Quarren","Nautolan","Gungan","Mon Calamari","Ackbar is a Mon Calamari; Quarren are another species from the same ocean world.","https://www.starwars.com/databank/admiral-ackbar"
"Star Wars 4 · Deep cuts","Alien species","What species is the green-skinned bounty hunter Greedo?","Duros","Rodian","Trandoshan","Bith","Rodian","Greedo is a Rodian with large eyes and short antennae.","https://www.starwars.com/databank/greedo"
"Star Wars 4 · Deep cuts","Alien species","Which species does Jabba belong to?","Ortolan","Gamorrean","Hutt","Besalisk","Hutt","Jabba is a Hutt crime lord; Gamorreans serve among his guards.","https://www.starwars.com/databank/jabba-the-hutt"
"Star Wars 4 · Deep cuts","Alien species","What is Yoda's species officially called in the Star Wars Databank?","Whill","Lannik","Yodaling","Unknown","Unknown","The Databank lists Yoda's species as unknown; Grogu does not establish a species name.","https://www.starwars.com/databank/yoda"
"Star Wars 4 · Deep cuts","Alien species","Which species is the blue musician Max Rebo?","Ortolan","Toydarian","Bith","Sullustan","Ortolan","Max Rebo is an Ortolan with a trunk-like nose.","https://www.starwars.com/news/star-wars-trivia-tuesday-answers"
"Star Wars 4 · Deep cuts","Alien species","What kind of creature is Jabba's cackling companion Salacious Crumb?","A porg","A Kowakian monkey-lizard","A loth-cat","A mynock","A Kowakian monkey-lizard","Kowakian monkey-lizards are known for their incessant laughter.","https://www.starwars.com/news/star-wars-trivia-tuesday-answers"
"Star Wars 4 · Deep cuts","Alien species","What species is Lando's Falcon co-pilot Nien Nunb?","Duros","Quarren","Sullustan","Ugnaught","Sullustan","Nien Nunb is a Sullustan and flies with Lando at Endor.","https://www.starwars.com/news/much-to-learn-you-still-have-7-things-you-might-not-know-about-sullustans"
"Star Wars 4 · Deep cuts","Alien species","Which species is cantina musician Figrin D'an?","Rodian","Neimoidian","Ithorian","Bith","Bith","Figrin D'an and the Modal Nodes are the Bith band in the Mos Eisley cantina.","https://www.starwars.com/news/star-wars-trivia"
"Star Wars 4 · Deep cuts","Terms & equipment","What do the letters TIE in TIE fighter stand for?","Twin Ion Engine","Tactical Imperial Escort","Twin Ignition Emitter","Transgalactic Interceptor Engine","Twin Ion Engine","TIE means Twin Ion Engine, not a description of the ship's bow-tie silhouette.","https://www.starwars.com/news/star-wars-trivia"
"Star Wars 4 · Deep cuts","Terms & equipment","What does AT-AT stand for?","Armored Tactical Assault Tank","All Terrain Armored Transport","Advanced Troop Attack Transport","All Terrain Artillery Tower","All Terrain Armored Transport","The All Terrain Armored Transport combines troop transport with heavy firepower.","https://www.starwars.com/databank/at-at-walker"
